NAME,POSITION,JERSEYNUMBER,CLASS,WEIGHT,HOMETOWN,OVERALLRANK,POSITIONRANK,SUMMARY,OVERALLGRADE,HEIGHT,TEAM
"Payton Wilson","WILL",11,"6-Year Senior",233,"Hillsborough, NC",40,1,"Wilson is an incredible athlete with outstanding play speed, pursuit, and tackle skills who can be a three-down player at the next level, but his struggles taking on linemen in the box and insufficient lateral strength may make it difficult to reach his full potential.","6.6","6'4","NC State"
"Dominick Puni","OG",67,"6-Year Senior",313,"St. Charles, MO",41,3,"Puni plays with burst, moves well laterally, and makes an impact at the 2nd level, along with enough strain and craft to win as a pass protector, making him a reliable player at multiple positions for many years to come.","6.6","6'5","Kansas"
"Chris Braswell","ED",41,"4-Year Junior",251,"Baltimore, MD",42,5,"Braswell has the strength on the edge to set the run and the speed and enough bend around the edge to get to the quarterback, but he will need to develop a more consistent pass rush plan if he wants to reach his ceiling as a feared pass rusher.","6.6","6'3","Alabama"
"Darius Robinson","DT",6,"5-Year Senior",285,"Southfield, MI",43,4,"Robinson is a long, strong defensive lineman with a hot motor who should make a difference right away in the run game, but until he is able to refine his pass rush skill set he won’t see much time as a pass rusher.","6.5","6'5","Missouri"
"Blake Fisher","OT",54,"3-Year Sophomore",310,"Avon, IN",44,8,"Fisher is a well-built right tackle who plays with technical footwork, awareness, and grip strength that can translate to him being a low-end starter, but he will need to round out his run blocking to reach his full potential.","6.5","6'6","Notre Dame"
"Patrick Paul","OT",76,"5-Year Junior",331,"Houston, TX",45,9,"Paul is a large tackle with plenty of length, athleticism, and awareness to be a good pass protector at the next level, but needs to clean up his technique and hand usage to become a high-end starter.","6.5","6'8","Houston"
"Kalen King","CB",4,"3-Year Junior",191,"Detroit, MI",46,8,"King is a physical corner with quick-twitch movements and strong ball skills, but his smaller frame and inconsistency to stay sticky at the top of routes must improve to be a true No.1 corner.","6.5","5'11","Penn State"
"Leonard Taylor III","DT",56,"3-Year Junior",303,"Miami, FL",47,5,"Taylor is a quick, strong, and disruptive interior defensive lineman who can rely on athleticism alone to be a productive low-end starter until he improves his pass rush ability, body control, and pad level.","6.5","6'4","Miami (FL)"
"Zach Frazier","OC",54,"4-Year Junior",313,"Fairmont, WV",48,2,"Frazier is an athletic center who utilizes his FBI and footwork to win as a blocker, but his lack of size, strength, and power may make it difficult for him against bigger interior defenders.","6.5","6'3","West Virginia"
"Christian Haynes","OG",64,"6-Year Senior",317,"Bowie, MD",49,4,"Haynes has high-level athleticism for a guard and consistently looks to finish his opponents while also flashing the versatility needed to provide help at center at the next level.","6.5","6'3","UConn"
"Beaux Limmer","OC",55,"5-Year Junior",302,"Tyler, TX",50,3,"Limmer is an experienced and stout player who is still learning the center position, but if he can improve his footwork and hand-fighting skills to minimize his weaknesses, he could have a solid NFL career.","6.5","6'5","Arkansas"
"Austin Booker","ED",9,"3-Year Sophomore",240,"Greenwood, IN",51,6,"Booker is a young and talented edge who is still developing his body and skill set, but has the athleticism and length to be a disruptive force rushing the passer.","6.5","6'5","Kansas"
"Christian Mahogany","OG",73,"5-Year Sophomore",314,"Elmwood Park, NJ",52,5,"Mahogany’s good awareness in pass pro and ability to generate vertical push in the run game make him a starting-level guard at the next level, but his limited flexibility, inconsistent hand use, and lack of fluidity in space may hold him back.","6.5","6'3","Boston College"
"Hunter Nourzad","OC",64,"6-Year Senior",317,"Marietta, GA",53,4,"Nourzad is a very smart and experienced center prospect with the versatility to help at guard who stands out with flexibility and strong hands in the pass game, and has surprising range and desire to finish defenders in the run game.","6.5","6'3","Penn State"
"Adisa Isaac","ED",20,"5-Year Junior",247,"Brooklyn, NY",54,7,"Isaac is a raw edge defender with a quick first step and athleticism, and has the potential to develop into a high-level starting edge if he keeps developing his pass rush repertoire and hand usage.","6.5","6'4","Penn State"
"Caelen Carson","CB",1,"4-Year Junior",199,"Waldorf, MD",55,9,"Carson has the transition ability and scheme-versatility to allow him a ceiling as a starting-level player, but he’ll need to improve his ball skills and learn to trust in his abilities before doing so, something that likely could come just with gaining more reps.","6.5","6'0","Wake Forest"
"Ruke Orhorhoro","DT",33,"5-Year Senior",294,"Lagos, Nigeria",56,6,"Orhorhoro is a run-stopping defensive lineman who has the versatility to line up across the line and the strong, heavy hands to make plays near the LOS, but he’ll need to vastly improve as a pass rusher before he can see consistent snaps against the pass.","6.5","6'4","Clemson"
"Kiran Amegadjie","OT",72,"4-Year Junior",323,"Hinsdale, IL",57,10,"Amegadjie is a raw, yet strong and powerful offensive lineman who possesses the hand use and movement skills to be a starting left tackle, but he needs some technique work, more reps, and a clean injury rehab to do so.","6.5","6'5","Yale"
"Jarvis Brownlee Jr.","CB",2,"5-Year Junior",194,"Miami Gardens, FL",58,10,"Brownlee is an averaged-sized cornerback prospect who plays much bigger than his size with the reactive athleticism, football intelligence, and zone instincts to contribute at the next level, but a lack of deep speed and some tackling inconsistencies could hold him back.","6.5","5'10","Louisville"
"Bralen Trice","ED",8,"5-Year Junior",245,"Phoenix, AZ",59,8,"Trice is a quick, powerful and versatile pass rusher who possesses a variety of pass-rush tricks and the hand use to work himself free, but he will need to increase his abilities as a run stopper to see the field regularly at the next level.","6.5","6'4","Washington"
"Trey Benson","RB",3,"4-Year Junior",216,"Greenville, MS",60,1,"Benson is a powerful, downhill runner with good contact balance and ball security, but his lack of elusiveness and pass pro efficiency will make it tough for him to be an every-down back early in his career. ","6.5","6'0","Florida State"
"Gabriel Murphy","ED",11,"5-Year Junior",247,"Dallas, TX",61,9,"Murphy has violent hands, an explosive first step, and a high motor to specialize as a pass rusher early in his career, but he will need to improve his tackling and run gap discipline if he wants to be an every-down player.","6.5","6'2","UCLA"
"Trevin Wallace","WILL",32,"3-Year Junior",237,"Jessup, GA",62,2,"Wallace is a highly athletic linebacker whose ability to navigate through the trash in the run game and fluidity in coverage make him a starter at the next level, but he’ll need to get tougher and improve his overall instincts to hit his high ceiling.","6.5","6'1","Kentucky"
"Josh Newton","CB",2,"6-Year Senior",190,"Monroe, LA",63,11,"Newton is a solidly built corner whose hip fluidity/COD, reactive athleticism, and press-man ability will certainly intrigue teams at the next level, but shows a need for improvement in his open-field tackling ability and overall physicality against the run if he wants to become an all-around player.","6.5","5'11","TCU"
"Theo Johnson","TE",84,"4-Year Junior",259,"Windsor, ON, CAN",64,3,"Johnson is a solid run-blocker who checks the size and athletic checkboxes for the position, but does need to keep developing his receiving ability to become a true every-down tight end.","6.5","6'6","Penn State"
"Audric Estime","RB",7,"3-Year Junior",221,"Nyack, NY",65,2,"Estime is a powerful downhill runner with good vision and contact balance, who is still developing his abilities in the passing game to become a true three-down running back.","6.5","5'11","Notre Dame"
"Jonathon Brooks","RB",24,"3-Year Sophomore",216,"Hallettsville, TX",66,3,"Brooks has the speed, quickness, and balance to be a starting-level back at the next level and if he can be a little more decisive as a runner and be more impactful in passing situations, he can become a true three-down back.","6.5","6'0","Texas"
"Will Shipley","RB",1,"3-Year Junior",206,"Weddington, NC",67,4,"Shipley is a reliable all-around back who plays downhill and with good footwork to navigate running lanes, but he will need to strengthen a bit to get through first contact more consistently and block extra blitzers.","6.5","5'11","Clemson"
"Jared Wiley","TE",19,"5-Year Senior",249,"Temple, TX",68,4,"Wiley’s massive frame and strong hands will allow him to see the field early in his NFL career while his blocking ability catches up.","6.5","6'6","TCU"
"Kris Jenkins","DT",94,"4-Year Junior",299,"Olney, MD",69,7,"Jenkins is a high-floor prospect due to his versatility and athleticism across the defensive line, but will need to improve his hand usage to improve his pass rush to become an athletic force on the interior of the defensive line.","6.5","6'3","Michigan"
"Walter Rouse","OT",75,"5-Year Senior",313,"Silver Spring, MD",70,11,"Rouse is a big, strong edge blocker who uses power in the run game and a heavy anchor in the pass game to be successful, but he’ll need to improve his footwork and body control in order to hit his ceiling as a high-end starter.","6.5","6'6","Oklahoma"
"Cade Stover","TE",8,"5-Year Junior",247,"Mansfield, OH",71,5,"Stover’s ability to make contested catches and be a reliable receiver allows him to be a good target on 3rd downs and clutch situations, but his impact as a blocker needs to keep developing at the next level.","6.5","6'4","Ohio State"
"Dallin Holker","TE",5,"4-Year Junior",241,"Lehi, UT",72,6,"Holker is a good-sized, sure-handed tight end who can attack zones well and can clear out some run lanes, but he will need to round out his blocking acumen and develop his releases and separation against man to reach his full potential.","6.5","6'3","Colorado State"
"Blake Corum","RB",2,"4-Year Junior",205,"Marshall, VA",73,5,"Corum is an undersized back with the vision, speed and elusiveness to be a playmaking threat in the NFL, but his limitations in pass pro will keep him from being a three-down star.","6.5","5'8","Michigan"
"Troy Franklin","WR",11,"3-Year Junior",176,"East Palo Alto, CA",74,6,"Franklin is a deep threat whose speed and savvy route running should allow him to find playing time at the next level, but a lack of play strength and ability to consistently win against press and bigger defenders will make it tough to be considered a top-2 option in an NFL offense.","6.4","6'2","Oregon"
"Mike Sainristil","CB","","5-Year Senior",182,"Everett, MA",75,12,"Sainristil is a twitchy and hard-nosed, if undersized, defensive back with the ball skills of a wide receiver who will be a starting-level slot cornerback at the next level early in his career.","6.4","5'9","Michigan"
"Adonai Mitchell","WR",5,"3-Year Junior",205,"Missouri City, TX",76,7,"Mitchell is a reliable, clutch receiver who has the hands and separation ability to help move the ball down the field, but will need to improve his RAC ability and come down with more contested catches if he wants to be a true starting threat in the NFL.","6.4","6'2","Texas"
"Michael Penix Jr.","QB",9,"6-Year Senior",216,"Tampa, FL",77,4,"Penix is an older, more experienced prospect with good leadership ability and an extensive injury history. He excels at pushing the ball down the field, but his inconsistent accuracy to the short and intermediate areas will limit him to being a top backup and circumstantial starter.","6.4","6'2","Washington"
"Ja'Lynn Polk","WR",2,"4-Year Sophomore",203,"Lufkin, TX",78,8,"Polk is a well-built, tough receiver with reliable hands who will need to improve his precision route running and urgency to warrant a starting spot.","6.4","6'1","Washington"
"Devontez Walker","WR",9,"4-Year Junior",193,"Charlotte, NC",79,9,"Walker is a prototypical height/weight/speed prospect and a true playmaker with the ball in the air and in his hands, but will need to improve his route running and savvy to reach his potential as a consistent starting-level receiver.","6.4","6'2","North Carolina"
"Cooper Beebe","OG",50,"5-Year Junior",322,"Kansas City, KS",80,6,"Beebe is a big, strong interior lineman whose awareness, strength, and movement skills make him a solid run defender and starting-level player, but heavy feet and a lack of length likely make it tough for him to play other positions at the next level.","6.4","6'3","Kansas State"
"Kris Abrams-Draine","CB",7,"4-Year Junior",179,"Mobile, AL",81,13,"Abrams-Draine is a sticky, long, and physical corner who has the ball skills to play on the outside at the next level, but his lack of top-end quickness, twitchiness, and run support will limit his versatility and usage.","6.4","5'11","Missouri"
"Cole Bishop","S",8,"3-Year Junior",206,"Peachtree City, GA",82,3,"Bishop is a do-it-all, versatile safety who has the ability to impact the game in a variety of ways, but lack of an elite trait will make it difficult to become a high-end starter early in his career.","6.4","6'2","Utah"
"Jaden Hicks","S",25,"3-Year Sophomore",211,"Las Vegas, NV",83,4,"With more NFL defenses employing three-safety looks as their base package, Hicks can match up with athletic tight ends, eliminate throwing lanes underneath, add a dynamic to the pass rush, and turn the ball over, all while making a difference on special teams.","6.4","6'2","Washington State"
"Kitan Oladapo","S",28,"6-Year Senior",216,"Happy Valley, OR",84,5,"Oladapo has the size, reactive athleticism, and competitiveness to be a role-playing safety, but he will need to improve his coverage instincts to be an every-down starter at the next level.","6.4","6'2","Oregon State"
"Ladd McConkey","WR",84,"4-Year Junior",186,"Chatsworth, GA",85,10,"McConkey’s swiss-army knife traits in the pass, run, and special teams gives him multiple ways to be successful at the next level, but his inconsistent hands and route running may keep him from a three-down role.","6.4","6'0","Georgia"
"Xavier Worthy","WR",1,"3-Year Junior",165,"Fresno, CA",86,11,"Worthy has tantalizing speed, but he has numerous things to work on to be a well-rounded receiver and would provide value as a No. 3 wide receiver while he develops those traits.","6.4","5'11","Texas"
"T.J. Tampa","CB",2,"4-Year Junior",189,"St. Petersburg, FL",87,14,"Tampa is a tough press corner who has the speed and burst to be a strong No. 3 option on the outside, but his struggles with transitioning, balance, and slot coverage will make it tough for him to ascend to being a starting-level player.","6.4","6'1","Iowa State"
"J.J. McCarthy","QB",9,"3-Year Junior",219,"La Grange Park, IL",88,5,"McCarthy is an athletic quarterback who displays toughness and a winning mentality, but must continue to develop his anticipation and decision-making as he moves to the NFL. ","6.4","6'3","Michigan"
"Javon Bullard","S",22,"3-Year Junior",198,"Milledgeville, GA",89,6,"Bullard has the physical tools to make an impact as a safety or slot defender due to his reaction time, coverage ability, and fluid hips, but his inconsistent tackling impact, pursuit angles, and footwork could limit his ceiling.","6.4","5'11","Georgia"
"Malik Mustapha","S",3,"4-Year Junior",209,"Charlotte, NC",90,7,"Mustapha is a rangy, athletic safety whose versatility to play all over the field should allow him to contribute in multiple facets of the game, but a lack of height and inefficient pursuit angles likely hold him back from being a starting-level defender.","6.4","5'10","Wake Forest"
"Xavier Legette","WR",17,"5-Year Senior",221,"Mullins, SC",91,12,"Legette has a versatile skill set that is desired by the en vogue wide-zone offenses: lining up anywhere to influence the defense’s personnel, physically dominating the catch point to bail out the QB, and punishing lackluster tackling once the ball is in his hands.","6.4","6'1","South Carolina"
"Roman Wilson","WR",1,"4-Year Junior",185,"Maui, HI",92,13,"Wilson is a smooth receiver that has the explosiveness to stretch defenses and the savviness to find the spaces in defenses, but he will need to further develop his ability to separate and be an elite playmaker with the ball to be a consistent threat.","6.4","5'11","Michigan"
"Jaylin Simpson","S",36,"5-Year Junior",179,"Brunswick, GA",93,8,"While he is undersized, Simpson has the competitiveness, athleticism, and ball-hawking skills as a free safety to be a role-playing starter in the back-end of a defense at the next level.","6.4","6'0","Auburn"
"Ricky Pearsall","WR",1,"5-Year Senior",189,"Chandler, AZ",94,14,"Pearsall is a trustworthy slot weapon who utilizes a good release and stem package, along with savviness in his routes to win, despite some struggles to create separation and issues with physicality.","6.4","6'1","Florida"
"Andru Phillips","CB",23,"4-Year Junior",190,"Mauldin, SC",95,15,"Phillips is a high-FBI slot corner who has the reactive athleticism, transition, and closing speed to be a strong contributor at the next level, but his lack of size/strength, inefficiency against bigger targets, and inconsistent open-field tackling limit his ceiling.","6.4","5'11","Kentucky"
"Brenden Rice","WR",2,"4-Year Junior",208,"Chandler, AZ",96,15,"Rice is a technically-sound wide receiver who has the physical traits to develop into a playmaker, but he will need to develop more strength and physicality to consistently win the physical matchups at the next level.","6.4","6'2","USC"
"Sedrick Van Pran","OC",63,"4-Year Junior",298,"New Orleans, LA",97,5,"Van Pran has the explosive get off, stout anchor, and second-level ability to be a starter at the next level, but he will need to further develop his leg drive and body control to reach his ceiling.","6.4","6'4","Georgia"
"Calen Bullock","S",7,"3-Year Junior",188,"Pasadena, CA",98,9,"Bullock is a free safety with good range and ball skills, but can take himself out of the play too often and lacks the frame and tackling form to start at the next level.","6.4","6'2","USC"
"Khyree Jackson","CB",5,"5-Year Senior",194,"Upper Marlboro, MD",99,16,"Jackson is a tall and long cornerback who has the ball skills to play outside at the next level, but his lack of strength, foot quickness, and effort in run support makes him scheme-specific and not as versatile.","6.4","6'4","Oregon"
"Malachi Corley","WR",11,"4-Year Junior",210,"Orange City, FL",100,16,"Corley is a dynamic playmaker who uses his vision, body control and contact balance to eat up yards after catch, but his struggles through press and bringing in contested targets will limit his role at the next level.","6.4","5'11","Western Kentucky"
"Javon Baker","WR",1,"4-Year Junior",202,"Atlanta, GA",101,17,"Baker’s savviness, body control, and all-level ability make him a menace for defenses, though a lack of top-end speed and refinement out of the top of routes could hold him back.","6.4","6'1","UCF"
"Jalen McMillan","WR",11,"4-Year Junior",197,"Fresno, CA",102,18,"McMillan is a speedy, savvy route runner who is a super competitive run blocker, but his inability to create after the catch and lack of strength in contested situations make him more of a role player than a true starter early in his career.","6.4","6'1","Washington"
"D.J. James","CB",4,"5-Year Senior",175,"Mobile, AL",103,17,"James has the FBI, closing speed, and ball skills to be a solid corner at the next level, but he will need to be a bit more physical in his press and run aggression to reach his full potential.","6.4","6'0","Auburn"
"Zak Zinter","OG",65,"4-Year Junior",309,"North Andover, MA",104,7,"Zinter is a powerful run-blocking guard with a vast amount of experience, but his limited athleticism and inconsistent anchor in pass protection need improvement to be a more well-rounded interior blocker.","6.4","6'6","Michigan"
"Jordan Morgan","OT",77,"5-Year Senior",311,"Marana, AZ",105,12,"Morgan is a backup swing tackle who has the size, strength, and power to move defenders in the run game and neutralize rushers trying to go through him, but his inaccurate and untimely hands and wanting to lunge too often at the POA make it difficult to stick with finesse edge rushers.","6.3","6'5","Arizona"
"Travis Glover","OT",52,"5-Year Senior",338,"Vienna, GA",106,13,"Glover has the physical tools and strength teams covet on the outside, and he should provide crucial depth to an NFL team while he improves his initial punch and reactive footwork.","6.3","6'6","Georgia State"
"Javon Foster","OT",76,"6-Year Senior",313,"Detroit, MI",107,14,"Foster is a long offensive tackle with the upper-body strength and awareness to make an impact in the run game, but will need to improve his hand timing, footwork, and balance in order to make a consistent contribution at the next level.","6.3","6'6","Missouri"
"Roger Rosengarten","OT",73,"4-Year Sophomore",308,"Highlands Ranch, CO",108,15,"Rosengarten has the size and feet to be a solid pass protector, but will need to improve his overall play strength if he wants to be a starting-level player.","6.3","6'5","Washington"
"Bucky Irving","RB","","3-Year Junior",192,"Chicago, IL",109,6,"Irving is an intriguing running back prospect who has shown the ability to make defenders miss in a number of ways and have an impact as a receiver, but his lack of size, impact power, and pass protection skills will make it hard for him to be an every-down runner early in his career.","6.3","5'9","Oregon"
"Joe Milton III","QB",7,"6-Year Senior",235,"Pahokee, FL",110,6,"With prototypical size, excellent arm strength, and good mobility, Milton has all of the traits needed to become a starter at the next level, but he will need to work on his footwork and learn to process quicker to be more than a quality backup early in his career.","6.3","6'5","Tennessee"
"Delmar Glaze","OT",74,"4-Year Junior",315,"Charlotte, NC",111,16,"Glaze projects as a backup swing tackle who displays smooth pass protection ability with powerful hands and good length to match, but his reactive athleticism and body control issues must improve to become a full-time starter at the next level.","6.3","6'4","Maryland"
